,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
1058,,,12h32m32.96s,-09d36m27.5s,5705.0,1.0,0.99
1059,86.3,8.2,23h23m39.97s,-01d11m21.4s,4599.0,0.71,0.68
1060,87.2,,23h23m39.97s,-01d11m21.4s,4599.0,0.71,0.68
1061,88.93,3.69,08h40m06.43s,+19d05m34.4s,3385.0,0.33,0.33
1062,87.54,3.92,08h40m06.43s,+19d05m34.4s,3385.0,0.33,0.33
1063,,,19h35m19.97s,-28d29m52.2s,3672.0,0.58,0.55
1064,,,00h58m04.28s,-00d11m35.4s,4079.0,0.65,0.63
1065,,,00h58m04.28s,-00d11m35.4s,4079.0,0.65,0.63
1066,,,00h58m04.28s,-00d11m35.4s,4079.0,0.65,0.63
1067,,,00h39m17.26s,+07d16m37.6s,3745.0,0.59,0.57
1068,,,11h52m26.59s,+04d15m17.1s,5131.0,0.72,0.68
1069,,,01h13m22.60s,+08d59m15.1s,3499.0,0.46,0.44
1070,,,01h17m13.09s,+09d30m05.0s,3695.0,0.47,0.45
1071,,,12h06m31.87s,-05d49m38.7s,4044.0,0.63,0.61
1072,,,12h15m14.21s,+02d01m15.4s,3845.0,0.55,0.53
1073,,,12h36m00.36s,-02d40m10.1s,4097.0,0.65,0.63
1074,,,12h36m00.36s,-02d40m10.1s,4097.0,0.65,0.63
1075,88.3,,04h21m52.49s,+21d21m13.0s,4258.0,0.65,0.58
1076,88.96,,04h21m52.49s,+21d21m13.0s,4258.0,0.65,0.58
1077,89.61,,04h21m52.49s,+21d21m13.0s,4258.0,0.65,0.58
1078,,,12h10m48.04s,-06d17m39.1s,4597.0,0.66,0.66
1079,76.711,,12h15m00.32s,-05d46m55.2s,5456.0,0.94,0.88
1080,,,11h59m45.60s,-05d43m18.2s,5503.0,0.92,0.95
1081,,,11h59m45.60s,-05d43m18.2s,5503.0,0.92,0.95
1082,,,12h02m09.81s,-03d34m50.6s,5425.0,0.9,0.83
1083,87.97,,11h40m23.34s,+04d33m26.4s,,0.67,
1084,87.83,,11h40m23.34s,+04d33m26.4s,,0.67,
1085,88.254,,12h16m13.10s,-03d33m11.1s,5649.0,0.98,0.91
1086,87.251,,12h15m10.52s,-03d29m44.2s,4972.0,0.99,2.57
1087,,,12h24m09.28s,-01d06m40.9s,4842.0,0.75,0.69
1088,88.253,,12h09m19.04s,-00d32m20.6s,4937.0,0.83,0.76
1089,87.89,,11h27m44.08s,-00d03m46.2s,5791.0,1.18,2.2
1090,87.083,,12h19m36.08s,+00d58m06.2s,5185.0,0.83,0.8
1091,87.054,,12h19m36.08s,+00d58m06.2s,5185.0,0.83,0.8
1092,89.002,,12h19m36.08s,+00d58m06.2s,5185.0,0.83,0.8
1093,,,12h20m45.19s,+02d16m56.8s,,1.07,
1094,88.604,,22h26m18.19s,-18d00m40.2s,5908.0,1.02,1.83
1095,89.4,,22h12m26.37s,-16d20m30.3s,5502.7,0.88,0.83
1096,87.837,,22h28m10.63s,-14d35m57.8s,5548.0,0.99,0.92
1097,,,11h53m19.15s,+06d24m44.1s,4320.0,0.71,0.66
1098,87.989,,22h21m48.17s,-14d35m35.8s,5748.0,0.96,0.98
1099,88.668,,22h21m48.17s,-14d35m35.8s,5748.0,0.96,0.98
1100,85.048,,22h09m21.80s,-13d25m43.9s,5250.0,0.89,1.72
1101,88.914,,22h21m14.01s,-12d33m24.8s,5569.0,0.93,0.87
1102,89.497,,22h21m14.01s,-12d33m24.8s,5569.0,0.93,0.87
1103,87.826,,04h01m29.99s,+15d37m30.1s,5580.0,0.88,0.84
1104,89.95,,04h03m10.28s,+16d20m50.8s,4455.0,0.7,0.68
1105,87.494,,03h30m00.86s,+17d35m03.1s,5909.0,1.09,1.42
1106,88.063,,03h53m04.60s,+17d54m25.5s,5428.0,0.94,0.86
1107,87.22,,03h40m55.10s,+20d44m09.9s,6063.0,1.21,1.21
1108,88.611,,03h31m33.33s,+22d26m05.5s,5525.0,0.95,0.89
1109,88.755,,03h55m11.26s,+23d45m24.5s,5015.0,0.82,0.77
1110,,4.11,11h30m14.51s,+07d35m18.2s,3457.0,0.36,0.41
1111,,,11h30m14.51s,+07d35m18.2s,3457.0,0.36,0.41
1112,,,08h25m51.34s,+10d14m49.1s,5358.0,0.72,0.72
1113,,,08h30m12.97s,+10d54m37.1s,5608.0,0.99,1.07
1114,,,08h40m43.28s,+10d58m58.6s,5165.0,0.88,0.8
1115,25.034,,08h20m01.72s,+14d01m10.1s,5519.0,0.93,0.97
1116,,,08h20m01.72s,+14d01m10.1s,5519.0,0.93,0.97
1117,,,08h20m01.72s,+14d01m10.1s,5519.0,0.93,0.97
1118,,,08h36m33.63s,+14d27m43.0s,5220.0,0.86,0.78
1119,88.932,,08h41m02.32s,+14d41m25.2s,5722.0,0.98,0.91
1120,89.524,,09h01m20.39s,+18d49m31.6s,5784.0,1.02,0.98
1121,,,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92
1122,,,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92
1123,,,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92
1124,,,08h50m05.67s,+23d11m33.4s,5484.0,0.98,0.92
1125,,,08h39m15.27s,+23d21m26.9s,5977.0,1.06,1.19
1126,,,08h39m15.27s,+23d21m26.9s,5977.0,1.06,1.19
1127,,,13h34m29.11s,-15d02m10.9s,5519.0,0.94,0.87
1128,,,13h34m29.11s,-15d02m10.9s,5519.0,0.94,0.87
1129,89.47,,11h39m50.47s,+00d36m12.9s,5430.0,0.93,0.86
1130,87.99,,11h39m50.47s,+00d36m12.9s,5430.0,0.93,0.86
1131,85.83,,11h39m50.47s,+00d36m12.9s,5430.0,0.93,0.86
1132,88.357,,13h41m27.24s,-13d09m39.2s,5631.0,0.9,0.91
1133,88.977,,13h41m27.24s,-13d09m39.2s,5631.0,0.9,0.91
1134,87.051,,13h26m33.40s,-12d48m23.6s,5176.0,0.9,0.84
1135,,,13h46m19.75s,-11d33m22.5s,5222.0,0.9,0.81
1136,,,13h40m56.89s,-11d00m33.5s,5817.0,1.01,0.98
1137,89.065,,13h38m26.14s,-08d55m37.7s,5979.0,1.11,1.28
1138,,,13h19m19.56s,-08d30m34.1s,5713.0,0.94,0.99
1139,88.537,,13h19m19.56s,-08d30m34.1s,5713.0,0.94,0.99
1140,88.274,,13h21m49.52s,-08d28m18.2s,6045.0,1.16,1.54
1141,,,13h29m34.48s,-07d22m26.4s,5667.0,1.0,0.93
1142,88.904,,13h15m22.51s,-06d27m53.6s,5212.9,0.8,0.76
1143,86.494,,13h15m22.51s,-06d27m53.6s,5212.9,0.8,0.76
1144,89.86,,13h15m22.51s,-06d27m53.6s,5212.9,0.8,0.76
1145,,,13h55m36.41s,-06d08m10.1s,4648.0,0.73,0.68
1146,,,13h55m36.41s,-06d08m10.1s,4648.0,0.73,0.68
1147,87.968,,13h29m00.38s,-04d36m36.8s,5233.0,0.86,0.79
1148,84.414,,19h34m14.58s,-23d07m51.7s,5507.0,0.96,0.88
1149,89.272,,19h34m14.58s,-23d07m51.7s,5507.0,0.96,0.88
1150,87.672,,18h53m03.43s,-22d24m25.3s,5491.0,0.97,0.91
1151,88.43,,00h51m05.70s,-01d11m45.2s,5000.0,0.79,0.76
1152,87.649,,01h09m31.81s,-00d31m03.4s,5755.0,1.01,1.18
1153,89.097,,01h00m52.20s,+00d25m33.6s,5890.0,0.95,1.08
1154,89.112,,00h45m01.52s,+00d35m35.7s,5043.0,0.79,0.76
1155,88.62,,00h46m47.93s,+00d38m26.9s,5522.0,0.94,0.93
1156,88.043,,01h23m06.98s,+00d53m21.0s,5582.0,0.93,0.86
1157,86.231,,00h58m45.76s,+01d23m01.7s,4720.0,0.74,0.71
1158,88.98,,22h41m12.88s,-14d29m20.4s,4222.06,0.68,0.65
1159,88.85,,22h41m12.88s,-14d29m20.4s,4222.06,0.68,0.65
1160,84.105,,01h10m33.82s,+01d34m41.8s,5396.0,0.91,0.85
1161,81.569,,01h24m25.43s,+01d42m17.8s,5221.0,0.88,0.82
1162,,,01h13m41.62s,+03d05m49.0s,4272.0,0.67,0.65
1163,87.862,,00h52m33.67s,+03d30m27.7s,5794.0,1.07,1.2
1164,,,00h59m30.26s,+04d13m40.1s,5854.0,1.05,1.27
1165,88.984,,01h13m52.82s,+06d07m26.0s,5704.0,1.0,0.97
1166,86.9,8.2,00h45m55.26s,+06d20m49.1s,4503.0,0.7,0.72
1167,88.043,,00h45m11.61s,+06d28m53.6s,5967.0,1.1,1.33
1168,88.453,,00h51m14.32s,+06d50m47.3s,5757.0,1.05,1.01
1169,86.795,,00h51m22.87s,+08d52m03.5s,5753.0,1.02,1.19
1170,87.269,,00h51m22.87s,+08d52m03.5s,5753.0,1.02,1.19
1171,88.287,,00h51m22.87s,+08d52m03.5s,5753.0,1.02,1.19
1172,,,11h17m55.88s,+02d37m08.7s,3830.0,0.6,0.57
1173,,,00h51m04.77s,+09d31m00.5s,5660.0,0.96,1.02
1174,85.447,,01h06m37.20s,+10d11m22.9s,5716.0,1.01,0.95
1175,,,01h05m50.95s,+11d45m12.3s,6058.0,1.0,1.09
1176,,,12h21m13.48s,-10d16m55.3s,5835.0,1.06,0.99
1177,,,12h21m13.48s,-10d16m55.3s,5835.0,1.06,0.99
1178,,,12h38m48.98s,-10d03m38.4s,5620.0,0.91,0.84
1179,,,12h38m48.98s,-10d03m38.4s,5620.0,0.91,0.84
1180,,,12h26m09.91s,-09d37m29.3s,5742.0,1.27,1.7
1181,,,12h14m34.98s,-09d33m45.5s,5424.0,0.88,0.91
1182,88.374,,12h43m47.63s,-08d28m41.7s,5673.0,0.95,0.89
1183,,,12h29m10.75s,-06d50m03.3s,4715.0,0.71,0.65
1184,,,12h27m29.58s,-06d43m18.7s,5315.0,0.87,0.79
1185,,,12h27m29.58s,-06d43m18.7s,5315.0,0.87,0.79
1186,,,12h45m27.17s,-06d34m34.0s,5945.0,1.11,1.39
1187,88.6,,19h16m22.04s,-15d46m16.0s,5695.0,1.01,0.95
1188,89.14,,04h55m03.96s,+18d39m16.3s,6154.0,1.19,1.16
1189,88.79,,15h21m55.20s,-20d13m54.1s,4950.0,0.8,0.74
1190,88.95,,15h21m55.20s,-20d13m54.1s,4950.0,0.8,0.74
1191,89.35,,15h21m55.20s,-20d13m54.1s,4950.0,0.8,0.74
1192,84.6,0.37,16h55m04.53s,-28d42m38.0s,6099.0,1.23,1.38
1193,84.5,0.56,23h10m49.04s,-07d51m27.0s,5630.0,1.19,1.59
1194,88.99,,10h42m22.63s,+04d26m28.9s,3420.0,0.4,0.36
1195,88.77,,10h42m22.63s,+04d26m28.9s,3420.0,0.4,0.36
1196,89.43,,10h42m22.63s,+04d26m28.9s,3420.0,0.4,0.36
1197,,0.64,16h10m17.69s,-24d59m25.2s,5625.0,1.07,1.16
1198,,0.2,16h10m17.69s,-24d59m25.2s,5625.0,1.07,1.16
1199,89.26,,15h11m23.91s,-17d52m30.8s,3810.0,0.58,0.54
1200,89.66,,15h11m23.91s,-17d52m30.8s,3810.0,0.58,0.54
1201,,,12h04m57.45s,-06d48m17.7s,5262.0,0.71,0.75
1202,,,11h59m20.62s,-06d31m04.3s,3459.0,0.38,0.37
1203,,,12h04m29.14s,-04d53m57.1s,6570.0,1.29,1.39
1204,,,12h04m29.14s,-04d53m57.1s,6570.0,1.29,1.39
1205,,,12h13m52.54s,-03d49m54.7s,5677.0,0.86,0.92
1206,,,12h20m43.60s,-01d35m27.2s,5793.0,0.83,1.25
1207,,,12h06m31.13s,-01d09m38.0s,5610.0,0.87,0.94
1208,,,12h35m34.49s,-10d04m09.2s,4667.0,0.74,0.69
1209,,,12h35m34.49s,-10d04m09.2s,4667.0,0.74,0.69
1210,,,12h11m16.14s,-09d24m50.4s,5528.0,0.88,0.92
1211,,,12h13m28.00s,-08d59m42.4s,6504.0,1.32,1.57
1212,88.3,,04h13m05.62s,+15d14m51.9s,3180.0,0.29,0.29
1213,,,12h20m07.62s,-08d58m32.8s,5172.0,0.8,0.81
1214,,,12h42m45.41s,-08d32m09.3s,3717.0,0.52,0.49
1215,,,12h09m27.93s,-08d18m34.3s,5152.0,0.79,0.82
1216,,,12h24m20.50s,-06d22m44.0s,6027.0,1.08,1.1
1217,,,12h22m12.18s,-04d43m02.0s,4629.0,0.71,0.67
1218,,,12h22m12.18s,-04d43m02.0s,4629.0,0.71,0.67
1219,,,12h39m39.12s,-03d22m14.0s,4676.0,0.71,0.69
1220,,,12h24m54.52s,-02d03m57.4s,5219.0,0.84,0.78
1221,,,12h33m06.84s,-01d57m11.4s,3725.0,0.52,0.5
1222,,,12h30m31.52s,-01d09m39.3s,6351.0,1.21,1.31
1223,,,12h27m12.65s,+01d34m00.7s,6059.0,1.14,1.13
1224,88.4,,06h16m49.58s,+24d35m47.1s,3785.0,0.56,0.52
1225,88.67,0.5,05h07m28.16s,+16d52m03.8s,6367.0,1.39,1.69
1226,88.4,0.483,10h52m07.78s,+00d29m36.1s,5537.0,1.1,1.65
1227,89.24,5.7,08h38m43.77s,+15d40m50.3s,5368.0,0.88,0.85
1228,89.01,,08h45m26.06s,+19d41m54.5s,3660.0,0.5,0.47
1229,89.38,,08h45m26.06s,+19d41m54.5s,3660.0,0.5,0.47
1230,87.7,7.1,22h48m07.57s,-14d29m40.9s,5477.0,0.92,0.98
1231,75.32,1.77,10h31m44.51s,+00d56m15.3s,4285.0,0.69,0.7
1232,88.28,4.51,10h31m44.51s,+00d56m15.3s,4285.0,0.69,0.7
1233,89.46,2.03,10h31m44.51s,+00d56m15.3s,4285.0,0.69,0.7
1234,89.45,2.21,10h31m44.51s,+00d56m15.3s,4285.0,0.69,0.7
1235,,,08h54m50.29s,+11d50m53.8s,5068.0,0.84,0.78
1236,,,08h54m50.29s,+11d50m53.8s,5068.0,0.84,0.78
1237,,,08h40m37.24s,+13d00m52.8s,6209.0,1.16,1.45
1238,,1.87,11h26m03.64s,+01d13m50.7s,5248.0,0.87,0.89
1239,,,08h45m03.98s,+13d32m59.4s,4877.0,0.85,0.77
1240,,,08h45m03.98s,+13d32m59.4s,4877.0,0.85,0.77
1241,,,08h20m53.73s,+16d05m27.4s,5644.0,0.83,0.99
1242,,,08h50m29.07s,+17d32m32.8s,5419.0,0.81,0.81
1243,,,08h39m06.49s,+19d00m36.1s,5200.0,0.9,0.84
1244,,,08h37m07.79s,+20d23m57.7s,5065.0,0.81,0.74
1245,,,08h48m40.77s,+20d27m18.3s,4812.0,0.79,0.73
1246,,,08h48m40.77s,+20d27m18.3s,4812.0,0.79,0.73
1247,,,08h23m48.66s,+22d38m02.5s,5139.0,0.82,0.85
1248,,,13h28m03.99s,-15d56m16.2s,5741.0,1.02,0.97
1249,,,13h33m12.43s,-14d30m14.6s,6747.0,1.4,1.61
1250,,,13h39m07.13s,-06d02m29.7s,5558.0,0.79,0.86
1251,88.9,,22h22m29.85s,-07d57m19.3s,3214.0,0.26,0.29
1252,,,19h26m22.88s,-22d14m51.6s,5742.0,1.11,1.28
1253,,,01h04m54.56s,+07d16m09.2s,4812.0,0.82,0.76
1254,,,00h53m43.68s,+07d59m43.1s,,0.94,
1255,,,00h52m46.66s,+09d41m34.5s,5060.0,0.89,0.82
1256,89.0,,05h16m33.76s,+20d15m18.4s,4140.0,0.63,0.61
1257,86.846,3.07,23h17m32.23s,+01d18m01.0s,4975.0,0.83,0.79
1258,89.861,1.95,23h17m32.23s,+01d18m01.0s,4975.0,0.83,0.79
1259,89.643,,23h17m32.23s,+01d18m01.0s,4975.0,0.83,0.79
1260,89.799,,23h17m32.23s,+01d18m01.0s,4975.0,0.83,0.79
1261,89.67,,15h33m28.70s,-16d46m23.7s,3926.0,0.64,0.62
1262,88.13,,15h32m17.84s,-22d21m29.7s,5695.0,1.06,1.07
1263,89.81,,03h41m46.43s,+18d16m08.0s,3341.0,0.33,0.32
1264,88.48,,16h26m34.33s,-15d47m32.6s,5529.0,0.95,1.02
1265,86.656,0.53,04h10m40.96s,+24d24m07.4s,5358.0,0.94,0.86
1266,88.14,4.1,15h39m25.87s,-20d11m55.7s,6302.0,1.19,1.51
1267,89.37,1.01,15h39m25.87s,-20d11m55.7s,6302.0,1.19,1.51
1268,85.26,8.84,05h05m46.99s,+21d32m55.1s,5520.0,0.93,0.9
1269,88.4,7.4,13h41m30.30s,-09d56m45.9s,5725.0,1.0,1.09
1270,88.8,,23h26m25.52s,-06d01m40.4s,5532.0,0.96,0.95
1271,85.5,,23h28m12.40s,-07d36m13.3s,5612.0,0.99,1.2
1272,89.3,0.612,01h18m26.38s,+06d49m00.7s,4444.0,0.74,0.7
1273,89.588,3.7,11h29m20.39s,-01d27m17.2s,3896.0,0.6,0.56
1274,89.905,2.98,11h29m20.39s,-01d27m17.2s,3896.0,0.6,0.56
1275,89.788,5.62,11h29m20.39s,-01d27m17.2s,3896.0,0.6,0.56
1276,86.92,0.64,03h29m22.07s,+22d17m57.9s,5425.0,0.9,0.84
1277,88.44,,05h13m21.39s,+16d24m51.1s,6100.0,1.09,1.24
1278,79.9,,16h21m45.78s,-23d32m52.3s,5280.0,0.91,0.78
1279,88.74,,15h12m05.20s,-20d06m30.7s,3300.0,0.17,0.2
1280,87.02,,15h34m29.94s,-23d15m33.2s,3436.0,0.41,0.38
1281,89.31,,15h34m29.94s,-23d15m33.2s,3436.0,0.41,0.38
1282,89.22,,15h14m28.63s,-21d01m21.8s,3387.0,0.4,0.38
1283,89.38,,15h29m47.13s,-17d33m26.2s,3851.0,0.56,0.55
1284,89.45,,11h07m12.25s,+03d02m24.1s,5440.0,0.95,0.9
1285,,,16h49m42.26s,-19d32m34.2s,,0.86,0.84
1286,,,16h49m42.26s,-19d32m34.2s,,0.86,0.84
1287,,,16h49m42.26s,-19d32m34.2s,,0.86,0.84
1288,,,16h49m42.26s,-19d32m34.2s,,0.86,0.84
1289,87.84,,10h53m00.52s,+05d18m23.9s,3157.0,0.12,0.3
1290,88.94,,10h25m37.27s,+02d30m51.7s,3855.0,0.6,0.58
1291,88.15,,10h26m29.46s,+04d45m50.5s,4141.0,0.63,0.6
1292,89.88,,10h37m41.04s,+06d17m09.4s,3710.0,0.48,0.55
1293,88.33,,10h30m29.35s,+06d51m49.3s,3752.0,0.52,0.51
1294,89.37,,23h35m40.06s,-07d41m11.6s,3287.0,0.27,0.3
1295,85.63,,23h26m26.92s,+01d20m15.2s,3924.0,0.51,0.69
1296,89.1,,16h10m14.74s,-19d19m09.4s,3540.0,0.56,1.05
1297,,,08h30m18.91s,+22d14m09.3s,6071.0,1.15,1.44
1298,88.58,,11h20m24.74s,+01d17m09.4s,4402.71,0.7,0.62
1299,88.98,,11h20m24.74s,+01d17m09.4s,4402.71,0.7,0.62
1300,84.45,7.2,11h17m47.78s,+03d51m59.0s,4916.0,0.79,0.72
1301,86.917,1.3,11h17m47.78s,+03d51m59.0s,4916.0,0.79,0.72
1302,87.28,,16h13m48.24s,-24d47m13.4s,5413.0,0.9,0.85
1303,87.37,,16h13m48.24s,-24d47m13.4s,5413.0,0.9,0.85
1304,88.34,,16h13m48.24s,-24d47m13.4s,5413.0,0.9,0.85
1305,87.28,,16h00m08.06s,-23d11m21.4s,5757.0,2.24,1.38
1306,88.61,3.6,16h00m08.06s,-23d11m21.4s,5757.0,2.24,1.38
1307,80.39,,22h33m28.41s,-09d01m22.0s,4881.0,0.66,2.97
1308,89.54,,11h38m58.95s,-03d54m20.1s,4014.73,0.64,0.57
1309,,,11h46m39.77s,-05d10m18.9s,4613.0,0.7,0.64
1310,89.6,,11h16m28.11s,-03d58m31.6s,3840.6,0.57,0.54
1311,89.26,,11h16m28.11s,-03d58m31.6s,3840.6,0.57,0.54
1312,,,11h36m02.79s,-02d31m15.2s,5912.0,1.15,1.58
1313,,,11h18m31.89s,-01d46m26.9s,4103.0,0.5,0.45
1314,,,11h37m03.92s,-00d54m26.1s,6256.0,0.96,1.29
1315,,,11h14m19.82s,+02d46m50.6s,5054.0,0.75,0.76
1316,,,11h44m29.65s,+03d16m20.7s,4899.0,0.77,0.73
1317,,,11h49m16.85s,+03d28m32.0s,4175.0,0.51,0.45
1318,87.35,,11h17m12.84s,-01d52m40.7s,3930.0,0.61,0.57
1319,86.95,,11h17m12.84s,-01d52m40.7s,3930.0,0.61,0.57
1320,,,11h17m56.07s,+05d59m18.2s,,0.61,
1321,86.46,,16h26m26.74s,-24d58m11.8s,7147.0,1.69,2.19
1322,89.32,,16h16m34.04s,-20d24m01.9s,5263.0,0.85,0.81
1323,,,22h32m13.01s,-17d32m38.4s,3798.0,0.42,0.38
1324,,,22h15m00.46s,-17d15m02.5s,4456.0,0.7,0.63
1325,,,22h50m46.01s,-14d04m11.6s,4434.0,0.68,0.62
1326,,,22h15m17.23s,-14d02m59.3s,5413.0,0.89,0.86
1327,,,22h15m17.23s,-14d02m59.3s,5413.0,0.89,0.86
1328,,,22h15m17.23s,-14d02m59.3s,5413.0,0.89,0.86
1329,,,22h35m46.16s,-14d01m39.9s,5055.0,0.77,0.73
1330,,,22h35m46.16s,-14d01m39.9s,5055.0,0.77,0.73
1331,,,11h52m46.14s,-01d11m54.5s,5850.0,0.97,0.96
1332,88.49,1.7,22h34m25.48s,-13d43m54.1s,5500.0,0.97,1.12
1333,,,22h38m41.94s,-13d33m36.1s,6293.0,1.21,1.36
1334,,,22h17m27.40s,-12d11m15.0s,4880.0,0.77,0.73
1335,,,22h17m27.40s,-12d11m15.0s,4880.0,0.77,0.73
1336,,,22h13m42.40s,-12d03m58.9s,6771.0,1.4,1.63
1337,,,22h13m42.40s,-12d03m58.9s,6771.0,1.4,1.63
1338,,,22h09m39.27s,-11d25m43.5s,5312.0,0.74,0.73
1339,,,22h12m50.82s,-10d55m31.4s,5213.0,0.87,0.84
1340,86.6,7.8,22h06m06.41s,-10d42m41.6s,5887.0,1.11,1.67
1341,,,22h16m04.75s,-10d34m02.3s,4746.0,0.73,0.68
1342,,,22h23m02.29s,-10d29m18.9s,4127.0,0.55,0.49
1343,,,11h08m22.50s,-01d03m56.7s,5772.0,0.97,0.96
1344,,,22h33m54.19s,-10d05m05.8s,5622.0,0.94,0.93
1345,,,22h46m53.86s,-09d52m53.8s,4006.0,0.48,0.43
1346,89.15,,22h18m29.27s,-09d36m44.6s,3360.47,0.27,0.33
1347,89.54,,22h18m29.27s,-09d36m44.6s,3360.47,0.27,0.33
1348,89.26,,22h18m29.27s,-09d36m44.6s,3360.47,0.27,0.33
1349,89.68,,22h18m29.27s,-09d36m44.6s,3360.47,0.27,0.33
1350,,,22h20m06.12s,-09d03m21.9s,5922.0,1.05,1.06
1351,,,22h39m40.64s,-08d42m52.2s,6060.0,0.96,0.98
1352,,,22h35m22.76s,-07d28m11.5s,5995.0,1.16,1.56
1353,,,22h35m22.76s,-07d28m11.5s,5995.0,1.16,1.56
1354,88.7,,03h40m54.82s,+12d34m21.4s,4970.0,0.8,0.76
1355,,,03h41m01.42s,+13d31m09.7s,5926.0,1.06,1.28
1356,86.42,,11h19m10.48s,-00d17m03.8s,4870.0,0.78,0.74
1357,86.7,,11h19m10.48s,-00d17m03.8s,4870.0,0.78,0.74
1358,,,03h56m09.00s,+13d33m33.4s,5441.0,0.9,0.87
1359,,,03h56m09.00s,+13d33m33.4s,5441.0,0.9,0.87
1360,89.397,,03h56m09.00s,+13d33m33.4s,5441.0,0.9,0.87
1361,89.29,,03h49m56.52s,+14d30m07.9s,4674.13,0.75,0.63
1362,,,03h59m36.37s,+15d33m32.0s,3910.0,0.48,0.42
1363,,,03h59m36.37s,+15d33m32.0s,3910.0,0.48,0.42
1364,,,03h43m14.23s,+16d38m04.4s,5652.0,0.95,0.93
1365,,,03h43m14.23s,+16d38m04.4s,5652.0,0.95,0.93
1366,,,03h57m51.45s,+18d27m54.9s,4268.0,0.57,0.51
1367,,,03h26m12.67s,+18d38m08.2s,5482.0,0.79,0.76
1368,87.74,,04h24m56.69s,+18d49m38.7s,5747.0,1.16,1.4
1369,,,03h39m00.38s,+19d07m12.6s,3537.0,0.26,0.26
1370,,,03h48m16.01s,+20d27m34.7s,3691.0,0.35,0.32
1371,87.983,,11h45m03.47s,+00d00m19.1s,3390.0,0.3,0.31
1372,89.24,,03h56m36.58s,+22d28m21.5s,4484.0,0.63,0.62
1373,86.94,,03h56m36.58s,+22d28m21.5s,4484.0,0.63,0.62
1374,,,04h12m52.34s,+24d12m18.4s,3622.0,0.29,0.28
1375,,,08h37m27.06s,+18d58m36.1s,3548.0,0.44,0.42
1376,,,08h31m03.08s,+10d50m51.3s,4717.0,1.2,4.47
1377,,,08h25m57.19s,+11d30m40.1s,6172.0,1.2,1.57
1378,,,13h55m05.70s,-05d26m32.9s,6217.0,1.63,2.63
1379,87.8,24.7,00h01m26.91s,+39d23m01.7s,6518.0,1.32,1.46
1380,88.61,0.308,18h58m11.61s,-47d00m11.7s,5948.0,1.11,1.21
1381,85.3,,10h46m49.74s,-09d23m56.5s,5375.0,1.44,2.69
1382,84.47,0.209,17h50m33.72s,+36d34m12.8s,6279.0,1.59,2.37
1383,78.3,0.322,07h13m12.36s,-42d24m35.1s,5720.0,1.24,1.52
1384,88.3,,07h49m39.61s,-52d07m13.6s,6003.0,2.06,1.78
1385,84.4,1.2,20h57m04.44s,+31d39m39.7s,6236.0,1.21,1.36
1386,84.87,0.46,08h22m28.21s,+13d44m07.1s,7454.0,1.64,1.65
1387,88.86,0.377,14h26m05.76s,+59d26m39.4s,6670.0,1.52,1.91
1388,85.41,0.744,07h26m02.28s,+07d36m56.9s,7500.0,1.62,1.83
1389,88.6,,06h10m39.35s,+30d57m25.7s,6327.0,1.54,1.93
1390,86.12,0.806,19h38m38.74s,+31d13m09.2s,8720.0,1.76,1.56
1391,86.46,1.24,20h19m12.01s,+32d34m51.7s,7598.0,1.46,1.64
1392,85.37,0.503,15h28m35.1926s,+66d21m31.544s,5899.0,0.94,1.0
1393,89.17,3.13,10h47m38.35s,+71d39m21.2s,6509.0,1.46,1.51
1394,84.14,,09h54m34.40s,+40d23m17.0s,6304.0,1.96,1.7
1395,83.16,0.228,10h28m15.01s,+25d34m23.5s,6206.0,1.2,1.6
1396,88.81,,13h03m55.65s,+30d38m24.2s,6102.0,1.42,1.73
1397,,,13h03m55.65s,+30d38m24.2s,6102.0,1.42,1.73
1398,83.76,,05h13m10.93s,+33d19m05.4s,6768.0,1.76,1.81
1399,82.65,,18h53m13.32s,+24d07m38.6s,5754.0,0.81,1.46
1400,86.79,0.53,20h31m26.35s,+39d56m19.8s,10170.0,2.52,2.36
1401,,,19h09m33.41s,+46d59m04.2s,27500.0,,
1402,,,19h09m33.41s,+46d59m04.2s,27500.0,,
1403,,,19h09m33.41s,+46d59m04.2s,27500.0,,
1404,89.861,,19h09m30.74s,+47d46m16.3s,6091.0,1.01,1.01
1405,89.973,,19h39m47.96s,+38d36m18.7s,6175.0,0.98,1.01
1406,105.83,,19h22m12.47s,+40d14m06.1s,,1.21,
1407,89.904,,19h13m53.97s,+40d39m04.9s,6340.0,1.07,1.24
1408,89.799,,19h15m57.98s,+41d13m22.9s,6258.0,0.98,1.52
1409,,,19h57m44.30s,+43d37m57.4s,7067.0,1.63,
1410,89.3,,18h49m30.61s,+44d41m40.5s,6474.0,1.04,1.26
1411,89.701,,18h49m30.61s,+44d41m40.5s,6474.0,1.04,1.26
1412,89.768,,19h48m10.90s,+46d19m43.3s,6065.0,0.98,1.03
1413,,,17h53m45.42s,-29d05m12.80s,,0.48,
1414,,,17h45m40.26s,-26d01m54.48s,,0.09,
1415,,,18h10m39.51s,-24d51m27.9s,,0.45,
1416,,,17h55m03.54s,-29d31m00.9s,,0.04,
1417,,,17h53m00.08s,-30d02m26.70s,,0.49,
